,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-03-25,1.832,1.916,1.8,1.818,1.818,10666085
1,2020-03-26,1.818,1.84,1.71,1.76,1.76,3691028
2,2020-03-27,1.774,1.918,1.762,1.892,1.892,5741225
3,2020-03-30,2.05,2.43,2.01,2.32,2.32,22157636
4,2020-03-31,2.41,2.44,1.96,2.22,2.22,12089205
5,2020-04-01,2.06,2.145,1.984,2.07,2.07,4682627
6,2020-04-02,2.07,2.095,1.872,1.928,1.928,5270652
7,2020-04-03,1.992,2.24,1.95,2.205,2.205,6460688
8,2020-04-06,2.45,2.6,2.3,2.475,2.475,14917949
9,2020-04-07,2.54,2.55,2.37,2.46,2.46,5972986
10,2020-04-08,2.75,2.99,2.68,2.99,2.99,17422994
11,2020-04-09,3.1,5.98,3.08,4.285,4.285,34625461
12,2020-04-14,5.67,5.9,5.13,5.64,5.64,14575299
13,2020-04-15,5.25,5.25,3.76,4.9,4.9,14292538
14,2020-04-16,5.72,5.75,4.7,5.0,5.0,11631947
15,2020-04-17,4.8,4.95,4.32,4.8,4.8,6083107
16,2020-04-20,4.61,4.75,4.36,4.54,4.54,4371702
17,2020-04-21,4.15,4.38,3.71,3.71,3.71,6393998
18,2020-04-22,3.4,4.52,3.12,4.22,4.22,11610064
19,2020-04-23,4.16,4.49,3.97,4.21,4.21,4669915
20,2020-04-24,4.055,4.42,4.05,4.275,4.275,2293626
21,2020-04-27,4.8,4.93,4.57,4.795,4.795,5528434
22,2020-04-28,4.85,4.95,4.605,4.81,4.81,2851269
23,2020-04-29,5.29,5.37,4.9,4.935,4.935,7428680
24,2020-04-30,4.77,4.9,4.6,4.67,4.67,2889283
25,2020-05-04,4.5,4.8,4.085,4.57,4.57,2086491
26,2020-05-05,4.6,4.94,4.48,4.89,4.89,1859348
27,2020-05-06,4.86,5.06,4.705,4.85,4.85,2349925
28,2020-05-07,4.8,4.9,4.675,4.725,4.725,1097137
29,2020-05-08,4.695,4.72,4.4,4.54,4.54,1500828
30,2020-05-11,4.49,4.645,4.25,4.525,4.525,1144508
31,2020-05-12,4.435,4.56,4.11,4.235,4.235,1853304
32,2020-05-13,4.09,4.63,3.85,4.35,4.35,3893916
33,2020-05-14,4.35,4.45,3.55,3.89,3.89,3585247
34,2020-05-15,3.75,3.92,3.37,3.455,3.455,4416063
35,2020-05-18,3.35,4.25,3.31,3.905,3.905,4973867
36,2020-05-19,4.0,4.195,3.805,3.915,3.915,2187555
37,2020-05-20,3.95,3.95,3.6,3.665,3.665,1769130
38,2020-05-21,3.68,3.74,3.49,3.715,3.715,965426
39,2020-05-22,3.79,3.79,3.49,3.545,3.545,1355964
40,2020-05-25,3.5,3.535,3.2,3.35,3.35,2282293
41,2020-05-26,3.23,3.72,3.21,3.635,3.635,2445528
42,2020-05-27,3.775,3.79,3.385,3.45,3.45,1791547
43,2020-05-28,3.345,3.5,3.27,3.35,3.35,1150971
44,2020-05-29,3.335,3.62,3.33,3.52,3.52,1279329
45,2020-06-01,3.55,4.0,3.55,3.89,3.89,2587740
46,2020-06-02,4.055,4.07,3.4,3.42,3.42,4605031
47,2020-06-03,3.46,3.52,3.055,3.14,3.14,4114018
48,2020-06-04,2.905,2.97,2.57,2.745,2.745,6321566
49,2020-06-05,2.71,3.19,2.58,2.885,2.885,4311380
50,2020-06-08,2.83,2.91,2.62,2.675,2.675,2819558
51,2020-06-09,2.65,2.87,2.65,2.67,2.67,1685015
52,2020-06-10,2.695,2.81,2.61,2.8,2.8,1421059
53,2020-06-11,2.8,2.86,2.67,2.67,2.67,1124561
54,2020-06-12,2.71,2.75,2.43,2.5,2.5,2263495
55,2020-06-15,2.595,2.6,2.31,2.445,2.445,2361373
56,2020-06-16,2.42,2.78,2.385,2.71,2.71,2837419
57,2020-06-17,2.695,2.865,2.645,2.69,2.69,2149316
58,2020-06-18,2.94,3.075,2.66,2.66,2.66,3433250
59,2020-06-19,2.69,2.74,2.575,2.715,2.715,901453
60,2020-06-22,2.75,2.88,2.63,2.63,2.63,919371
61,2020-06-23,2.66,2.69,2.5,2.515,2.515,1067527
62,2020-06-24,2.52,2.71,2.46,2.565,2.565,1362311
63,2020-06-25,2.55,2.92,2.545,2.875,2.875,3052239
64,2020-06-26,2.92,2.98,2.63,2.685,2.685,2117711
65,2020-06-29,2.73,3.065,2.7,2.97,2.97,3454155
66,2020-06-30,2.96,3.015,2.765,2.82,2.82,2289643
67,2020-07-01,2.855,2.95,2.72,2.91,2.91,1699710
68,2020-07-02,2.87,2.97,2.83,2.875,2.875,1087984
69,2020-07-03,2.9,3.22,2.87,3.2,3.2,3972298
70,2020-07-06,3.23,3.355,3.085,3.2,3.2,2607910
71,2020-07-07,3.18,3.225,3.055,3.22,3.22,1322873
72,2020-07-08,3.21,3.21,3.06,3.095,3.095,960443
73,2020-07-09,3.05,3.08,2.855,2.885,2.885,1060587
74,2020-07-10,2.86,3.12,2.86,3.005,3.005,1271842
75,2020-07-13,3.33,3.34,2.9,2.985,2.985,3993094
76,2020-07-14,3.0,3.005,2.76,2.79,2.79,1831761
77,2020-07-15,2.85,2.94,2.81,2.865,2.865,1054505
78,2020-07-16,2.93,2.93,2.8,2.865,2.865,708455
79,2020-07-17,2.9,3.05,2.855,2.975,2.975,1363357
80,2020-07-20,3.1,3.1,2.875,2.915,2.915,1392318
81,2020-07-21,2.905,3.09,2.795,3.01,3.01,1509013
82,2020-07-22,2.95,3.33,2.915,3.24,3.24,3126315
83,2020-07-23,3.2,3.24,2.97,3.0,3.0,1598569
84,2020-07-24,2.96,3.08,2.92,2.98,2.98,763014
85,2020-07-27,3.09,3.29,3.085,3.205,3.205,2687509
86,2020-07-28,3.245,3.34,3.125,3.22,3.22,1358967
87,2020-07-29,3.24,3.56,3.215,3.4,3.4,3489816
88,2020-07-30,3.45,3.535,3.26,3.31,3.31,1755671
89,2020-07-31,3.335,3.46,3.33,3.365,3.365,1025855
90,2020-08-03,3.45,3.45,3.21,3.245,3.245,2124755
91,2020-08-04,3.27,3.29,3.105,3.17,3.17,1248363
92,2020-08-05,3.22,3.61,3.13,3.61,3.61,1874862
93,2020-08-06,3.55,3.805,3.44,3.56,3.56,3333303
94,2020-08-07,3.56,3.68,3.5,3.6,3.6,1317064
95,2020-08-10,3.59,3.63,3.45,3.49,3.49,1165873
96,2020-08-11,3.535,3.535,3.355,3.39,3.39,1215794
97,2020-08-12,3.435,3.44,3.29,3.33,3.33,819418
98,2020-08-13,3.28,3.49,3.23,3.43,3.43,1134570
99,2020-08-14,3.455,3.47,3.35,3.385,3.385,413309
100,2020-08-17,3.39,3.39,3.32,3.35,3.35,615864
101,2020-08-18,3.35,3.35,3.26,3.28,3.28,582398
102,2020-08-19,3.285,3.525,3.23,3.49,3.49,1129949
103,2020-08-20,3.505,3.505,3.305,3.34,3.34,843532
104,2020-08-21,3.31,3.385,3.25,3.275,3.275,626881
105,2020-08-24,3.35,3.35,3.26,3.285,3.285,490068
106,2020-08-25,3.29,3.33,3.23,3.23,3.23,395563
107,2020-08-26,3.22,3.25,2.95,3.22,3.22,1148352
108,2020-08-27,3.4,3.5,3.31,3.45,3.45,2711544
109,2020-08-28,3.42,3.46,3.35,3.4,3.4,929343
110,2020-08-31,3.405,3.68,3.385,3.55,3.55,1420273
111,2020-09-01,3.55,3.645,3.5,3.615,3.615,1219554
112,2020-09-02,3.6,3.61,3.455,3.505,3.505,717829
113,2020-09-03,3.5,3.5,3.275,3.295,3.295,914046
114,2020-09-04,3.43,3.565,3.34,3.37,3.37,1183364
115,2020-09-07,3.35,3.43,3.29,3.3,3.3,608044
116,2020-09-08,3.325,3.445,3.265,3.36,3.36,871670
117,2020-09-09,3.39,3.46,3.33,3.415,3.415,735339
118,2020-09-10,3.415,3.53,3.415,3.49,3.49,784353
119,2020-09-11,3.52,3.6,3.45,3.565,3.565,888371
120,2020-09-14,3.59,3.68,3.575,3.595,3.595,792630
121,2020-09-15,3.6,3.72,3.52,3.7,3.7,1125433
122,2020-09-16,3.72,4.135,3.7,4.075,4.075,3660920
123,2020-09-17,4.07,4.45,4.03,4.175,4.175,4635340
124,2020-09-18,4.22,4.42,4.18,4.4,4.4,1939710
125,2020-09-21,4.5,4.835,4.25,4.455,4.455,4497482
126,2020-09-22,4.295,4.495,4.18,4.35,4.35,1756046
127,2020-09-23,4.39,4.65,4.265,4.58,4.58,1783610
128,2020-09-24,4.59,4.705,4.41,4.45,4.45,1246280
129,2020-09-25,4.475,4.82,4.43,4.78,4.78,2165541
130,2020-09-28,4.89,5.16,4.79,5.16,5.16,3074627
131,2020-09-29,5.84,6.57,5.51,5.67,5.67,14343342
132,2020-09-30,5.67,6.08,5.34,5.84,5.84,4602762
133,2020-10-01,5.94,5.94,5.72,5.8,5.8,1135898
134,2020-10-02,5.76,6.37,5.74,6.26,6.26,4534652
135,2020-10-05,6.45,7.41,6.35,7.17,7.17,8938254
136,2020-10-06,7.26,7.46,6.8,7.2,7.2,3912880
137,2020-10-07,7.03,7.52,6.85,7.42,7.42,3806005
138,2020-10-08,7.5,8.55,7.49,8.41,8.41,7277775
139,2020-10-09,8.65,9.85,8.55,9.62,9.62,7981190
140,2020-10-12,10.56,10.78,8.7,9.0,9.0,12127014
141,2020-10-13,8.5,9.34,8.0,8.53,8.53,6049792
142,2020-10-14,8.5,9.45,8.34,9.32,9.32,3664239
143,2020-10-15,9.45,9.75,8.96,9.21,9.21,3038779
144,2020-10-16,9.35,10.48,8.93,10.32,10.32,6257934
145,2020-10-19,10.3,10.58,9.81,10.12,10.12,3148240
146,2020-10-20,10.1,10.74,9.56,10.48,10.48,4131696
147,2020-10-21,10.38,11.08,10.2,10.86,10.86,3322189
148,2020-10-22,10.88,12.58,10.7,12.12,12.12,6886162
149,2020-10-23,12.44,13.34,12.32,13.18,13.18,5667526
150,2020-10-26,13.62,13.96,10.8,11.38,11.38,10904216
151,2020-10-27,10.24,12.04,9.73,10.82,10.82,7529936
152,2020-10-28,10.5,11.48,8.93,9.2,9.2,5913366
153,2020-10-29,8.86,11.68,8.32,11.5,11.5,7573889
154,2020-10-30,11.7,12.56,10.62,11.28,11.28,6555712
155,2020-11-02,11.6,11.64,10.82,11.16,11.16,2020570
156,2020-11-03,11.04,11.46,10.7,11.12,11.12,1582712
157,2020-11-04,10.94,11.2,10.34,11.2,11.2,1814271
158,2020-11-05,11.18,11.66,10.96,11.14,11.14,1314807
159,2020-11-06,11.3,12.06,10.9,11.6,11.6,3163480
160,2020-11-09,11.88,12.28,6.02,8.0,8.0,13343627
161,2020-11-10,8.32,8.6,6.86,7.8,7.8,7326047
162,2020-11-11,7.8,9.43,7.73,9.16,9.16,6879715
163,2020-11-12,9.58,10.08,9.23,9.85,9.85,5401941
164,2020-11-13,10.18,10.34,9.72,9.73,9.73,2482724
165,2020-11-16,9.5,9.84,7.9,8.77,8.77,6855407
166,2020-11-17,8.64,9.18,8.25,8.85,8.85,2975221
167,2020-11-18,9.02,9.32,8.66,8.66,8.66,1988843
168,2020-11-19,8.7,9.09,8.55,8.96,8.96,1847198
169,2020-11-20,8.96,9.07,8.61,8.89,8.89,1909102
170,2020-11-23,8.87,9.06,8.66,8.7,8.7,1358967
171,2020-11-24,8.68,8.8,7.81,8.01,8.01,3795550
172,2020-11-25,8.0,8.64,7.33,8.42,8.42,4308262
173,2020-11-26,8.41,8.67,8.15,8.43,8.43,1011351
174,2020-11-27,8.45,8.93,8.26,8.86,8.86,1338316
175,2020-11-30,8.9,8.97,8.17,8.63,8.63,4436451
176,2020-12-01,8.6,8.84,8.32,8.52,8.52,1099597
177,2020-12-02,8.0,8.65,7.53,8.55,8.55,1935793
178,2020-12-03,8.47,8.68,8.31,8.5,8.5,698059
179,2020-12-04,8.55,8.57,8.33,8.38,8.38,643363
180,2020-12-07,8.46,9.08,8.37,8.85,8.85,2319268
181,2020-12-08,9.01,10.2,8.85,9.96,9.96,4097475
182,2020-12-09,9.95,10.32,9.14,9.24,9.24,2416472
183,2020-12-10,9.15,9.55,9.01,9.29,9.29,1306374
184,2020-12-11,9.45,9.83,9.32,9.45,9.45,1378531
185,2020-12-14,9.85,9.98,9.37,9.49,9.49,1088538
186,2020-12-15,9.61,9.65,9.05,9.28,9.28,902059
187,2020-12-16,9.23,9.25,8.39,9.03,9.03,1193393
188,2020-12-17,9.09,9.67,8.86,9.51,9.51,1308591
189,2020-12-18,9.41,9.5,9.04,9.18,9.18,718638
190,2020-12-21,9.81,10.18,9.42,9.84,9.84,2847411
191,2020-12-22,9.9,10.1,9.53,9.59,9.59,1019545
192,2020-12-23,9.59,9.6,9.23,9.43,9.43,897457
193,2020-12-24,9.43,9.6,9.25,9.54,9.54,500123
194,2020-12-28,9.62,9.72,9.07,9.19,9.19,1036224
195,2020-12-29,9.09,9.33,8.82,9.14,9.14,1335897
196,2020-12-30,9.04,9.37,8.92,9.33,9.33,830355
197,2020-12-31,9.37,9.85,9.22,9.8,9.8,801651
198,2021-01-04,10.1,10.1,9.34,9.56,9.56,1106253
199,2021-01-05,9.66,10.02,9.3,9.8,9.8,1326956
200,2021-01-06,9.8,9.89,9.51,9.59,9.59,746476
201,2021-01-07,9.62,9.64,9.22,9.32,9.32,1174116
202,2021-01-08,9.38,9.45,9.16,9.28,9.28,796690
203,2021-01-11,9.4,9.59,9.12,9.4,9.4,1035890
204,2021-01-12,9.5,10.0,9.36,9.95,9.95,1708662
205,2021-01-13,9.99,10.78,9.91,10.6,10.6,2878622
206,2021-01-14,10.68,11.48,10.46,11.32,11.32,2190148
207,2021-01-15,11.6,12.3,11.4,11.88,11.88,3254588
208,2021-01-18,12.0,12.48,11.82,12.2,12.2,2108658
209,2021-01-19,12.2,12.22,11.52,12.14,12.14,1527924
210,2021-01-20,12.04,12.92,11.88,12.64,12.64,1901464
211,2021-01-21,12.7,12.8,12.26,12.38,12.38,1083225
212,2021-01-22,12.36,12.98,12.04,12.64,12.64,1581282
213,2021-01-25,12.9,13.62,12.74,13.24,13.24,2237920
214,2021-01-26,13.28,13.42,12.62,12.98,12.98,1516953
215,2021-01-27,13.1,13.46,11.88,12.4,12.4,2101127
216,2021-01-28,12.2,12.22,10.98,12.0,12.0,2027377
217,2021-01-29,10.9,11.5,9.87,9.98,9.98,5574085
218,2021-02-01,10.02,10.54,8.84,9.44,9.44,4794023
219,2021-02-02,9.91,10.3,9.75,9.82,9.82,2934869
220,2021-02-03,9.92,10.02,9.3,9.4,9.4,1502075
221,2021-02-04,9.6,9.69,9.11,9.41,9.41,1355135
222,2021-02-05,9.49,9.54,9.2,9.28,9.28,983790
223,2021-02-08,9.29,9.33,8.58,8.97,8.97,2238689
224,2021-02-09,9.01,9.03,8.63,8.68,8.68,1087725
225,2021-02-10,8.56,9.68,8.33,9.29,9.29,3299155
226,2021-02-11,9.3,9.31,8.82,8.93,8.93,1470976
227,2021-02-12,8.9,8.95,8.7,8.92,8.92,910372
228,2021-02-15,8.96,9.35,8.81,9.09,9.09,992083
229,2021-02-16,9.23,9.23,8.82,8.98,8.98,664242
230,2021-02-17,8.9,9.06,8.5,8.52,8.52,1142725
231,2021-02-18,8.4,9.21,8.12,9.0,9.0,1996480
232,2021-02-19,8.86,9.0,8.55,8.63,8.63,873220
233,2021-02-22,8.58,8.58,8.15,8.18,8.18,1122169
234,2021-02-23,8.1,8.12,7.32,7.93,7.93,2935613
235,2021-02-24,8.0,8.55,7.96,7.96,7.96,1369448
236,2021-02-25,8.0,8.55,7.91,8.46,8.46,1028656
237,2021-02-26,8.32,8.45,8.04,8.14,8.14,804079
238,2021-03-01,8.2,8.26,8.01,8.09,8.09,439685
239,2021-03-02,8.04,8.67,8.04,8.42,8.42,1063691
240,2021-03-03,8.5,8.58,8.24,8.27,8.27,407564
241,2021-03-04,8.2,8.24,7.95,8.12,8.12,553891
242,2021-03-05,8.03,8.24,7.95,8.01,8.01,475201
243,2021-03-08,7.93,8.14,7.8,7.85,7.85,563981
244,2021-03-09,7.82,8.22,7.68,8.15,8.15,701702
245,2021-03-10,8.2,8.54,8.05,8.5,8.5,739640
246,2021-03-11,8.54,8.63,7.85,8.08,8.08,1160737
247,2021-03-12,8.11,8.15,7.72,7.79,7.79,858585
248,2021-03-15,7.77,8.25,7.61,8.1,8.1,1442415
249,2021-03-16,8.08,8.12,7.89,8.1,8.1,548428
250,2021-03-17,8.18,8.41,8.12,8.31,8.31,972600
251,2021-03-18,8.4,8.8,8.32,8.65,8.65,1438066
252,2021-03-19,8.67,9.22,8.62,8.91,8.91,1820662
253,2021-03-22,8.93,8.98,8.27,8.38,8.38,1206465
254,2021-03-23,8.38,8.52,8.27,8.4,8.4,407611
255,2021-03-24,8.49,8.86,8.32,8.33,8.33,771589
256,2021-03-25,8.3,8.35,7.92,8.04,8.04,676087
257,2021-03-26,8.05,8.41,8.05,8.34,8.34,548720
258,2021-03-29,8.35,8.4,8.04,8.06,8.06,407752
259,2021-03-30,8.1,8.19,7.98,8.09,8.09,457768
260,2021-03-31,8.12,8.49,8.02,8.36,8.36,834991
261,2021-04-01,8.33,8.39,8.07,8.084,8.084,673193
262,2021-04-06,8.2,8.2,7.95,8.126,8.126,830728
263,2021-04-07,8.05,8.088,7.904,7.942,7.942,563056
264,2021-04-08,7.95,8.06,7.872,7.958,7.958,665800
265,2021-04-09,7.962,8.038,4.802,4.901,4.901,11589037
266,2021-04-12,4.998,5.26,4.502,4.672,4.672,7877867
267,2021-04-13,4.634,5.134,4.525,5.096,5.096,3947825
268,2021-04-14,5.086,5.28,4.8,4.824,4.824,2699941
269,2021-04-15,4.839,4.846,4.612,4.712,4.712,1619132
270,2021-04-16,4.716,4.799,4.56,4.633,4.633,1180684
271,2021-04-19,4.695,4.758,4.583,4.615,4.615,787336
272,2021-04-20,4.632,4.632,4.185,4.308,4.308,2397625
273,2021-04-21,4.261,4.715,4.16,4.594,4.594,2292392
274,2021-04-22,4.54,4.54,4.23,4.241,4.241,1631718
275,2021-04-23,4.411,5.194,4.41,5.05,5.05,4958358
276,2021-04-26,5.08,6.09,5.0,5.9,5.9,5277202
277,2021-04-27,5.962,6.72,5.62,5.768,5.768,6195062
278,2021-04-28,5.75,6.08,5.32,5.524,5.524,2953948
279,2021-04-29,5.712,5.75,5.316,5.378,5.378,1118133
280,2021-04-30,5.322,5.35,5.132,5.216,5.216,1236969
281,2021-05-03,5.194,5.25,4.83,5.076,5.076,1285693
282,2021-05-04,5.1,5.262,4.93,4.976,4.976,779445
283,2021-05-05,5.0,5.06,4.746,4.84,4.84,854830
284,2021-05-06,4.84,5.05,4.746,4.784,4.784,711334
285,2021-05-07,4.8,4.97,4.783,4.813,4.813,443784
286,2021-05-10,4.881,4.9,4.777,4.828,4.828,294027
287,2021-05-11,4.76,4.8,4.611,4.723,4.723,510252
288,2021-05-12,4.7,4.729,4.52,4.564,4.564,528302
289,2021-05-13,4.51,4.73,4.2,4.602,4.602,1106475
290,2021-05-14,4.679,4.72,4.5,4.687,4.687,476205
291,2021-05-17,4.96,5.35,4.878,4.965,4.965,2237432
292,2021-05-18,5.0,5.05,4.764,4.828,4.828,524527
293,2021-05-19,4.83,4.946,4.701,4.75,4.75,674025
294,2021-05-20,4.88,4.88,4.702,4.741,4.741,348750
295,2021-05-21,4.08,4.45,4.0,4.181,4.181,2234016
296,2021-05-24,4.152,4.234,3.826,4.082,4.082,1273297
297,2021-05-25,4.06,4.16,3.941,4.004,4.004,703947
298,2021-05-26,4.16,4.23,4.025,4.07,4.07,764952
299,2021-05-27,4.06,4.088,3.931,3.931,3.931,2803138
300,2021-05-28,3.912,4.31,3.905,4.31,4.31,1079352
301,2021-05-31,4.33,4.332,4.109,4.17,4.17,427579
302,2021-06-01,4.18,4.226,4.04,4.103,4.103,372963
303,2021-06-02,4.1,4.105,4.005,4.034,4.034,303177
304,2021-06-03,4.11,4.246,3.974,3.98,3.98,754651
305,2021-06-04,4.0,4.12,3.989,4.001,4.001,294580
306,2021-06-07,3.998,4.075,3.985,3.991,3.991,325677
307,2021-06-08,4.0,4.042,3.941,3.941,3.941,218512
308,2021-06-09,3.95,3.961,3.85,3.9,3.9,354231
309,2021-06-10,3.916,3.92,3.828,3.889,3.889,242364
310,2021-06-11,3.89,4.148,3.878,3.988,3.988,836590
311,2021-06-14,4.058,4.097,3.961,3.977,3.977,317332
312,2021-06-15,4.0,4.04,3.941,3.943,3.943,272853
313,2021-06-16,3.942,3.967,3.826,3.869,3.869,308159
314,2021-06-17,3.832,3.9,3.68,3.781,3.781,771987
315,2021-06-18,3.75,4.58,3.75,4.58,4.58,2314571
316,2021-06-21,4.54,4.7,4.113,4.156,4.156,1400639
317,2021-06-22,4.332,4.88,3.946,3.951,3.951,2810801
318,2021-06-23,4.02,4.08,3.73,3.936,3.936,937505
319,2021-06-24,3.964,4.03,3.87,3.902,3.902,383070
320,2021-06-25,3.882,4.106,3.882,4.04,4.04,543947
321,2021-06-28,4.06,4.145,3.964,4.0,4.0,423367
322,2021-06-29,4.14,4.228,3.884,3.962,3.962,730274
323,2021-06-30,3.929,3.969,3.78,3.809,3.809,743154
324,2021-07-01,3.798,3.845,3.72,3.796,3.796,613582
325,2021-07-02,3.827,3.87,3.751,3.808,3.808,396077
326,2021-07-05,3.882,3.967,3.77,3.895,3.895,422469
327,2021-07-06,3.97,3.97,3.8,3.816,3.816,290405
328,2021-07-07,3.816,4.248,3.815,4.23,4.23,1308872
329,2021-07-08,4.16,4.217,3.992,4.088,4.088,923075
330,2021-07-09,4.1,4.137,3.971,4.099,4.099,398569
331,2021-07-12,4.08,4.291,4.052,4.157,4.157,760021
332,2021-07-13,4.111,4.134,3.972,4.0,4.0,609101
333,2021-07-14,3.971,4.005,3.908,3.91,3.91,350866
334,2021-07-15,3.91,3.93,3.83,3.83,3.83,269585
335,2021-07-16,3.82,4.064,3.8,4.048,4.048,279622
336,2021-07-19,4.039,4.26,3.91,4.15,4.15,867427
337,2021-07-20,4.132,4.26,3.98,4.022,4.022,503089
338,2021-07-21,4.046,4.096,3.932,3.95,3.95,306090
339,2021-07-22,3.95,3.996,3.88,3.954,3.954,275673
340,2021-07-23,3.988,4.008,3.902,3.91,3.91,262817
341,2021-07-26,3.918,3.98,3.865,3.871,3.871,277325
342,2021-07-27,3.89,3.991,3.865,3.964,3.964,292009
343,2021-07-28,3.959,3.983,3.9,3.9,3.9,185492
344,2021-07-29,3.9,3.97,3.812,3.847,3.847,393484
345,2021-07-30,3.84,3.863,3.806,3.814,3.814,188896
346,2021-08-02,3.83,3.89,3.814,3.837,3.837,211160
347,2021-08-03,3.825,3.92,3.78,3.798,3.798,300445
348,2021-08-04,3.848,3.85,3.781,3.787,3.787,172967
349,2021-08-05,3.8,3.826,3.525,3.58,3.58,594892
350,2021-08-06,3.58,3.6,3.36,3.464,3.464,986728
351,2021-08-09,3.456,3.77,3.454,3.649,3.649,691247
352,2021-08-10,3.74,3.74,3.471,3.544,3.544,448049
353,2021-08-11,3.568,3.621,3.477,3.485,3.485,212235
354,2021-08-12,3.487,3.497,3.415,3.43,3.43,238696
355,2021-08-13,3.431,3.533,3.4,3.463,3.463,322643
356,2021-08-16,3.463,3.75,3.4,3.612,3.612,811876
357,2021-08-17,3.639,3.639,3.46,3.53,3.53,368887
358,2021-08-18,3.88,4.224,3.845,4.2,4.2,4025413
359,2021-08-19,4.1,4.596,4.022,4.56,4.56,2647847
